,time,u10,v10,wind_speed,wind_dir_rad
0,438288,,,,
1,439032,,,,
2,439704,,,,
3,440448,,,,
4,441168,,,,
5,441912,,,,
6,442632,,,,
7,443376,,,,
8,444120,,,,
9,444840,,,,
10,445584,,,,
11,446304,,,,
12,447048,,,,
13,447792,,,,
14,448464,,,,
15,449208,,,,
16,449928,,,,
17,450672,,,,
18,451392,,,,
19,452136,,,,
20,452880,,,,
21,453600,,,,
22,454344,,,,
23,455064,,,,
24,455808,,,,
25,456552,,,,
26,457248,,,,
27,457992,,,,
28,458712,,,,
29,459456,,,,
30,460176,,,,
31,460920,,,,
32,461664,,,,
33,462384,,,,
34,463128,,,,
35,463848,,,,
36,464592,,,,
37,465336,,,,
38,466008,,,,
39,466752,,,,
40,467472,,,,
41,468216,,,,
42,468936,,,,
43,469680,,,,
44,470424,,,,
45,471144,,,,
46,471888,,,,
47,472608,,,,
48,473352,,,,
49,474096,,,,
50,474768,,,,
51,475512,,,,
52,476232,,,,
53,476976,,,,
54,477696,,,,
55,478440,,,,
56,479184,,,,
57,479904,,,,
58,480648,,,,
59,481368,,,,
60,482112,,,,
61,482856,,,,
62,483528,,,,
63,484272,,,,
64,484992,,,,
65,485736,,,,
66,486456,,,,
67,487200,,,,
68,487944,,,,
69,488664,,,,
70,489408,,,,
71,490128,,,,
72,490872,,,,
73,491616,,,,
74,492312,,,,
75,493056,,,,
76,493776,,,,
77,494520,,,,
78,495240,,,,
79,495984,,,,
80,496728,,,,
81,497448,,,,
82,498192,,,,
83,498912,,,,
84,499656,,,,
85,500400,,,,
86,501072,,,,
87,501816,,,,
88,502536,,,,
89,503280,,,,
90,504000,,,,
91,504744,,,,
92,505488,,,,
93,506208,,,,
94,506952,,,,
95,507672,,,,
96,508416,,,,
97,509160,,,,
98,509832,,,,
99,510576,,,,
100,511296,,,,
101,512040,,,,
102,512760,,,,
103,513504,,,,
104,514248,,,,
105,514968,,,,
106,515712,,,,
107,516432,,,,
108,517176,,,,
109,517920,,,,
110,518592,,,,
111,519336,,,,
112,520056,,,,
113,520800,,,,
114,521520,,,,
115,522264,,,,
116,523008,,,,
117,523728,,,,
118,524472,,,,
119,525192,,,,
120,525936,,,,
121,526680,,,,
122,527376,,,,
123,528120,,,,
124,528840,,,,
125,529584,,,,
126,530304,,,,
127,531048,,,,
128,531792,,,,
129,532512,,,,
130,533256,,,,
131,533976,,,,
132,534720,,,,
133,535464,,,,
134,536136,,,,
135,536880,,,,
136,537600,,,,
137,538344,,,,
138,539064,,,,
139,539808,,,,
140,540552,,,,
141,541272,,,,
142,542016,,,,
143,542736,,,,
144,543480,,,,
145,544224,,,,
146,544896,,,,
147,545640,,,,
148,546360,,,,
149,547104,,,,
150,547824,,,,
151,548568,,,,
152,549312,,,,
153,550032,,,,
154,550776,,,,
155,551496,,,,
156,552240,,,,
157,552984,,,,
158,553656,,,,
159,554400,,,,
160,555120,,,,
161,555864,,,,
162,556584,,,,
163,557328,,,,
164,558072,,,,
165,558792,,,,
166,559536,,,,
167,560256,,,,
168,561000,,,,
169,561744,,,,
170,562440,,,,
171,563184,,,,
172,563904,,,,
173,564648,,,,
174,565368,,,,
175,566112,,,,
176,566856,,,,
177,567576,,,,
178,568320,,,,
179,569040,,,,
180,569784,,,,
181,570528,,,,
182,571200,,,,
183,571944,,,,
184,572664,,,,
185,573408,,,,
186,574128,,,,
187,574872,,,,
188,575616,,,,
189,576336,,,,
190,577080,,,,
191,577800,,,,
192,578544,,,,
193,579288,,,,
194,579960,,,,
195,580704,,,,
196,581424,,,,
197,582168,,,,
198,582888,,,,
199,583632,,,,
200,584376,,,,
201,585096,,,,
202,585840,,,,
203,586560,,,,
204,587304,,,,
205,588048,,,,
206,588720,,,,
207,589464,,,,
208,590184,,,,
209,590928,,,,
210,591648,,,,
211,592392,,,,
212,593136,,,,
213,593856,,,,
214,594600,,,,
215,595320,,,,
216,596064,,,,
217,596808,,,,
218,597504,,,,
219,598248,,,,
220,598968,,,,
221,599712,,,,
222,600432,,,,
223,601176,,,,
224,601920,,,,
225,602640,,,,
226,603384,,,,
227,604104,,,,
228,604848,,,,
229,605592,,,,
230,606264,,,,
231,607008,,,,
232,607728,,,,
233,608472,,,,
234,609192,,,,
235,609936,,,,
236,610680,,,,
237,611400,,,,
238,612144,,,,
239,612864,,,,
240,613608,,,,
241,614352,,,,
242,615024,,,,
243,615768,,,,
244,616488,,,,
245,617232,,,,
246,617952,,,,
247,618696,,,,
248,619440,,,,
249,620160,,,,
250,620904,,,,
251,621624,,,,
252,622368,,,,
253,623112,,,,
254,623784,,,,
255,624528,,,,
256,625248,,,,
257,625992,,,,
258,626712,,,,
259,627456,,,,
260,628200,,,,
261,628920,,,,
262,629664,,,,
263,630384,,,,
264,631128,,,,
265,631872,,,,
266,632568,,,,
267,633312,,,,
268,634032,,,,
269,634776,,,,
270,635496,,,,
271,636240,,,,
272,636984,,,,
273,637704,,,,
274,638448,,,,
275,639168,,,,
276,639912,,,,
277,640656,,,,
278,641328,,,,
279,642072,,,,
280,642792,,,,
281,643536,,,,
282,644256,,,,
283,645000,,,,
284,645744,,,,
285,646464,,,,
286,647208,,,,
287,647928,,,,
288,648672,,,,
289,649416,,,,
290,650088,,,,
291,650832,,,,
292,651552,,,,
293,652296,,,,
294,653016,,,,
295,653760,,,,
296,654504,,,,
297,655224,,,,
298,655968,,,,
299,656688,,,,
300,657432,,,,
301,658176,,,,
302,658848,,,,
303,659592,,,,
304,660312,,,,
305,661056,,,,
306,661776,,,,
307,662520,,,,
308,663264,,,,
309,663984,,,,
310,664728,,,,
311,665448,,,,
312,666192,,,,
313,666936,,,,
314,667632,,,,
315,668376,,,,
316,669096,,,,
317,669840,,,,
318,670560,,,,
319,671304,,,,
320,672048,,,,
321,672768,,,,
322,673512,,,,
323,674232,,,,
324,674976,,,,
325,675720,,,,
326,676392,,,,
327,677136,,,,
328,677856,,,,
329,678600,,,,
330,679320,,,,
331,680064,,,,
332,680808,,,,
333,681528,,,,
334,682272,,,,
335,682992,,,,
336,683736,,,,
337,684480,,,,
338,685152,,,,
339,685896,,,,
340,686616,,,,
341,687360,,,,
342,688080,,,,
343,688824,,,,
344,689568,,,,
345,690288,,,,
346,691032,,,,
347,691752,,,,
348,692496,,,,
349,693240,,,,
350,693912,,,,
351,694656,,,,
352,695376,,,,
353,696120,,,,
354,696840,,,,
355,697584,,,,
356,698328,,,,
357,699048,,,,
358,699792,,,,
359,700512,,,,
360,701256,,,,
361,702000,,,,
362,702696,,,,
363,703440,,,,
364,704160,,,,
365,704904,,,,
366,705624,,,,
367,706368,,,,
368,707112,,,,
369,707832,,,,
370,708576,,,,
371,709296,,,,
372,710040,,,,
373,710784,,,,
374,711456,,,,
375,712200,,,,
376,712920,,,,
377,713664,,,,
378,714384,,,,
379,715128,,,,
380,715872,,,,
381,716592,,,,
382,717336,,,,
383,718056,,,,
384,718800,,,,
385,719544,,,,
386,720216,,,,
387,720960,,,,
388,721680,,,,
389,722424,,,,
390,723144,,,,
391,723888,,,,
392,724632,,,,
393,725352,,,,
394,726096,,,,
395,726816,,,,
396,727560,,,,
397,728304,,,,
398,728976,,,,
399,729720,,,,
