id,time,u10,v10
0,964248,1.6859534461103922,-1.1950537052747996
1,964249,1.59983738878901,-1.2846301146917019
2,964250,1.5831062690808557,-1.4442598699346436
3,964251,1.5080622762722227,-1.460050583133136
4,964252,1.4829655967099913,-1.4545956094827477
5,964253,1.5348812769808817,-1.5186197739057261
6,964254,1.4908390648079464,-1.5892473274844376
7,964255,1.458114963025821,-1.6119285337149996
8,964256,1.4032467322181976,-1.5441720188996502
9,964257,1.2260937000142114,-1.4936417366644743
10,964258,1.0009617215883122,-1.3202309953573939
11,964259,0.7369544944287605,-0.9673803313401721
12,964260,0.41463439416873005,-0.5774932672755773
13,964261,0.17769221359589848,-0.18674489158197405
14,964262,0.015794025831699976,0.017098860616746592
15,964263,-0.06367879278203259,-0.025679616957351215
16,964264,0.0622966967852463,-0.06472574413907806
17,964265,0.37231450314222225,-0.19564511174839705
18,964266,0.8159352212863711,-0.4741358717945361
19,964267,1.0605048240790964,-0.8579937544560701
20,964268,1.2418406362101213,-1.0526501826120311
21,964269,1.4061992827549306,-1.1000223222075087
22,964270,1.4913311565640686,-0.8358867559781809
23,964271,1.5021571751987566,-1.0558083252517299
24,964992,1.7511556037965814,-0.1896159303453362
25,964993,1.720153823160884,-0.16750893186744653
26,964994,1.7447584109669931,-0.21430686371025143
27,964995,1.7474649156256652,-0.14741166052391108
28,964996,1.7014543364282408,-0.10893974109485649
29,964997,1.6246880224731803,-0.13678881709947044
30,964998,1.6283787106440966,-0.23067178466141636
31,964999,1.5720342045681066,-0.21287134432857036
32,965000,1.4093978791697248,-0.06903230228412127
33,965001,1.2233871953555393,0.3647816548599163
34,965002,0.9805399137092415,0.5091949046570377
35,965003,0.7785362478210851,0.5129272550494086
36,965004,0.5610316916150798,0.726245435167225
37,965005,0.48574165292838567,1.082254241824145
38,965006,0.2490455182336152,1.3331830297420066
39,965007,0.0684478437367737,1.4069687259604167
40,965008,0.08763942222553878,1.298156356828987
41,965009,0.16932665374182143,0.9694224184240077
42,965010,0.534704782662543,0.7885469763321855
43,965011,1.0934749717392829,0.4417254937180246
44,965012,1.5956546088619714,0.047818975384722684
45,965013,1.7477109615037263,-0.28952807931034297
46,965014,1.6785720697685593,-0.2407204203331843
47,965015,1.757798842504231,-0.23268151179577012
48,965664,0.8744941402649109,-0.775307838071237
49,965665,0.8474290936781907,-0.9274728925294369
50,965666,0.9177982148036631,-1.027097937618107
51,965667,0.9332991051215119,-0.9762805515065951
52,965668,0.9547050965128269,-0.9550348646577147
53,965669,0.9847226936362801,-0.9731224088668968
54,965670,0.976357133782203,-0.9386699437065498
55,965671,0.9052498750225475,-0.8545485079400352
56,965672,0.6845467224017479,-0.4655227555044492
57,965673,0.4788523683426751,-0.05611262784899118
58,965674,0.11937934049541976,0.30362852920030026
59,965675,-0.39657886579869017,1.0587117239645747
60,965676,-0.8392154004305947,1.6995275759470307
61,965677,-1.1270890777620721,2.1316189098330507
62,965678,-1.3052262934783028,2.355847037251643
63,965679,-1.269057549403322,2.345798401579875
64,965680,-1.035560011123346,2.086256497371927
65,965681,-0.6251554865174445,1.700101783699703
66,965682,-0.12346794115087811,1.1109646294577673
67,965683,0.5233866722717327,0.7991698197566257
68,965684,1.0039142721250454,0.2864022966201265
69,965685,1.1891868183050476,-0.17813177529188717
70,965686,0.9859529230265855,-0.35671038637301944
71,965687,1.0095733273204504,-0.44858362680061203
72,966408,0.30711234545603283,-0.4457125880372499
73,966409,0.4188171740957686,-0.5703156703671719
74,966410,0.37969587948405503,-0.7259259713414061
75,966411,0.36788567733712263,-0.791672759022402
76,966412,0.33073274974989775,-0.8307188862041288
77,966413,0.36148848450753424,-0.8918720118637449
78,966414,0.36714753970293934,-1.045759689579962
79,966415,0.12307002866633598,-1.086815543896042
80,966416,-0.6039955410041906,-0.6165393944573041
81,966417,-1.2196023279130426,0.037196131960282486
82,966418,-1.607862723493446,0.4374189355729814
83,966419,-2.1887770415956838,1.1451299907417787
84,966420,-2.49879484795266,1.7021115108340568
85,966421,-2.581466262981187,2.017638670927569
