id,time,u10,v10,wind_speed,wind_dir_rad
0,964248,1.6859534461103922,-1.1950537052747996,2.014804912695041,2.1874236481967273
1,964249,1.59983738878901,-1.2846301146917019,2.0551992882480987,2.247348923939171
2,964250,1.5831062690808557,-1.4442598699346436,2.2864168542754357,2.3103628458837306
3,964251,1.5080622762722227,-1.460050583133136,2.201847205872343,2.3400200694306363
4,964252,1.4829655967099913,-1.4545956094827477,2.1571152459883165,2.34653712367043
5,964253,1.5348812769808817,-1.5186197739057261,2.3309010578208387,2.350869013280885
6,964254,1.4908390648079464,-1.5892473274844376,2.369311999455427,2.3881334639241913
7,964255,1.458114963025821,-1.6119285337149996,2.3503771143381122,2.4062540628949023
8,964256,1.4032467322181976,-1.5441720188996502,2.166854339503711,2.4039712250672665
9,964257,1.2260937000142114,-1.4936417366644743,1.8313447234025977,2.4542518122944443
10,964258,1.0009617215883122,-1.3202309953573939,1.321500690007188,2.4928821647692985
11,964259,0.7369544944287605,-0.9673803313401721,0.7129152830031232,2.490579499764465
12,964260,0.41463439416873005,-0.5774932672755773,0.23944857101332945,2.5188946209310643
13,964261,0.17769221359589848,-0.18674489158197405,0.03318311316292704,2.381029548451636
14,964262,0.015794025831699976,0.017098860616746592,0.0002700598462735331,0.7457497432684477
15,964263,-0.06367879278203259,-0.025679616957351215,0.0016352470069491381,358.04588326640396
16,964264,0.0622966967852463,-0.06472574413907806,0.004032200056831578,2.3753151377701442
17,964265,0.37231450314222225,-0.19564511174839705,0.07284151257280899,2.054622248171711
18,964266,0.8159352212863711,-0.4741358717945361,0.38686415747248126,2.0971990912710794
19,964267,1.0605048240790964,-0.8579937544560701,0.909906515630398,2.251026879073777
20,964268,1.2418406362101213,-1.0526501826120311,1.3072237724816251,2.273926370860295
21,964269,1.4061992827549306,-1.1000223222075087,1.546850600502612,2.2346301182242314
22,964270,1.4913311565640686,-0.8358867559781809,1.2465839625495279,2.0816629776757054
23,964271,1.5021571751987566,-1.0558083252517299,1.5859900514114684,2.183440126819903
24,964992,1.7511556037965814,-0.1896159303453362,0.3320469989933377,1.6786565530734379
25,964993,1.720153823160884,-0.16750893186744653,0.2881411295653842,1.6678704556518937
26,964994,1.7447584109669931,-0.21430686371025143,0.37391370298641824,1.6930131153657726
27,964995,1.7474649156256652,-0.14741166052391108,0.2575967049196555,1.6549545124536849
28,964996,1.7014543364282408,-0.10893974109485649,0.1853559948952134,1.6347364733509835
29,964997,1.6246880224731803,-0.13678881709947044,0.22223915274978417,1.654792127017572
30,964998,1.6283787106440966,-0.23067178466141636,0.3756210232889299,1.7115173703799655
31,964999,1.5720342045681066,-0.21287134432857036,0.3346410344569076,1.7053890640271447
32,965000,1.4093978791697248,-0.06903230228412127,0.09729398043344388,1.6197372106133798
33,965001,1.2233871953555393,0.3647816548599163,0.44626920565622535,1.2810160518897078
34,965002,0.9805399137092415,0.5091949046570377,0.49928592787359716,1.091827776544335
35,965003,0.7785362478210851,0.5129272550494086,0.3993324605513353,0.9882349696932238
36,965004,0.5610316916150798,0.726245435167225,0.40744670501959795,0.6577524033131681
37,965005,0.48574165292838567,1.082254241824145,0.5256959643124169,0.42187551413974234
38,965006,0.2490455182336152,1.3331830297420066,0.3320232585423593,0.18467665949805223
39,965007,0.0684478437367737,1.4069687259604167,0.0963039754970662,0.0486108323501071
40,965008,0.08763942222553878,1.298156356828987,0.11376967307090276,0.06740839820730571
41,965009,0.16932665374182143,0.9694224184240077,0.16414905417404108,0.1729230920137752
42,965010,0.534704782662543,0.7885469763321855,0.42163983959890666,0.5958685251957263
43,965011,1.0934749717392829,0.4417254937180246,0.48301577175983773,1.1868766233766337
44,965012,1.5956546088619714,0.047818975384722684,0.07630256846368991,1.5408370439494092
45,965013,1.7477109615037263,-0.28952807931034297,0.5060113978738067,1.7349666556603438
46,965014,1.6785720697685593,-0.2407204203331843,0.4040665741942308,1.7132330378406095
47,965015,1.757798842504231,-0.23268151179577012,0.4090072921067393,1.702402172090217
48,965664,0.8744941402649109,-0.775307838071237,0.6780021612947532,2.2961466412074856
49,965665,0.8474290936781907,-0.9274728925294369,0.7859675127273107,2.401261542590646
50,965666,0.9177982148036631,-1.027097937618107,0.9426686535744229,2.412333670306964
51,965667,0.9332991051215119,-0.9762805515065951,0.9111617650686413,2.378699018847044
52,965668,0.9547050965128269,-0.9550348646577147,0.911776652636158,2.3563671671789166
53,965669,0.9847226936362801,-0.9731224088668968,0.9582557196972361,2.3502695326913
54,965670,0.976357133782203,-0.9386699437065498,0.9164770958048287,2.336517313643469
55,965671,0.9052498750225475,-0.8545485079400352,0.7735799300134213,2.327391562519722
56,965672,0.6845467224017479,-0.4655227555044492,0.3186720764840009,2.1680039350457037
57,965673,0.4788523683426751,-0.05611262784899118,0.026869664739420575,1.687445820951666
58,965674,0.11937934049541976,0.30362852920030026,0.03624697357152615,0.3746094973749905
59,965675,-0.39657886579869017,1.0587117239645747,0.419862694697647,359.64159210943893
60,965676,-0.8392154004305947,1.6995275759470307,1.4262697151912254,359.54133003473083
61,965677,-1.1270890777620721,2.1316189098330507,2.4025243912239267,359.51361942230943
62,965678,-1.3052262934783028,2.355847037251643,3.074913496433803,359.4940626920159
63,965679,-1.269057549403322,2.345798401579875,2.9769531709031862,359.5040992197327
64,965680,-1.035560011123346,2.086256497371927,2.1604438016246252,359.53925873130777
65,965681,-0.6251554865174445,1.700101783699703,1.062827957717963,359.6476300992583
